Year,Event ID,Event Name,Player Name,Round,Score,SG Total,Driving Distance,GIR,Scrambling
2019,,The Masters,"Wolff, Matthew",2,68,5.787,328.5,0.778,0.6
2019,,The Masters,"Wolff, Matthew",3,73,-0.592,321.6,0.5,0.615
2019,,The Masters,"Wolff, Matthew",4,74,-0.831,320.9,0.667,0.375
2019,,The Masters,"Garcia, Sergio",1,71,2.718,306.1,0.611,0.444
2019,,The Masters,"Garcia, Sergio",2,74,-0.213,308.7,0.722,0.25
2019,,The Masters,"Garcia, Sergio",3,73,-0.592,313.7,0.611,0.429
2019,,The Masters,"Garcia, Sergio",4,68,5.169,314.2,0.778,0.833
2019,,The Masters,"Schwartzel, Charl",1,71,2.718,307.2,0.611,0.5
2019,,The Masters,"Schwartzel, Charl",2,74,-0.213,300.4,0.611,0.556
2019,,The Masters,"Schwartzel, Charl",3,71,1.408,305.5,0.556,0.6
2019,,The Masters,"Schwartzel, Charl",4,70,3.169,304.2,0.667,0.556
2019,,The Masters,"Harman, Brian",1,72,1.718,286.7,0.333,0.6
2019,,The Masters,"Harman, Brian",2,71,2.787,298.1,0.389,0.636
2019,,The Masters,"Harman, Brian",3,71,1.408,300.7,0.611,0.778
2019,,The Masters,"Harman, Brian",4,72,1.169,296.8,0.611,0.625
2019,,The Masters,"Johnson, Dustin",1,71,2.718,314.9,0.667,0.714
2019,,The Masters,"Johnson, Dustin",2,73,0.787,311.0,0.611,0.375
2019,,The Masters,"Johnson, Dustin",3,68,4.408,305.3,0.5,0.9
2019,,The Masters,"Johnson, Dustin",4,74,-0.831,305.6,0.667,0.5
2019,,The Masters,"Thomas, Justin",1,73,0.718,309.6,0.5,0.75
2019,,The Masters,"Thomas, Justin",2,69,4.787,311.1,0.667,0.857
2019,,The Masters,"Thomas, Justin",3,71,1.408,311.7,0.667,0.625
2019,,The Masters,"Thomas, Justin",4,73,0.169,307.8,0.611,0.625
2019,,The Masters,"Spieth, Jordan",1,77,-3.282,298.5,0.611,0.5
2019,,The Masters,"Spieth, Jordan",2,69,4.787,305.2,0.667,0.571
2019,,The Masters,"Spieth, Jordan",3,68,4.408,307.2,0.722,0.4
2019,,The Masters,"Spieth, Jordan",4,72,1.169,304.0,0.556,0.667
2019,,The Masters,"Reed, Patrick",1,72,1.718,294.8,0.556,0.778
2019,,The Masters,"Reed, Patrick",2,73,0.787,298.0,0.611,0.7
2019,,The Masters,"Reed, Patrick",3,74,-1.592,294.1,0.444,0.583
2019,,The Masters,"Reed, Patrick",4,67,6.169,309.8,0.667,0.625
2019,,The Masters,"Kaymer, Martin",1,77,-3.282,294.4,0.5,0.556
2019,,The Masters,"Kaymer, Martin",2,68,5.787,292.7,0.722,0.8
2019,,The Masters,"Kaymer, Martin",3,69,3.408,286.8,0.667,0.75
2019,,The Masters,"Kaymer, Martin",4,73,0.169,292.7,0.611,0.4
2019,,The Masters,"Matsuyama, Hideki",1,69,4.718,303.8,0.778,0.5
2019,,The Masters,"Matsuyama, Hideki",2,76,-2.213,299.8,0.556,0.455
2019,,The Masters,"Matsuyama, Hideki",3,74,-1.592,302.2,0.722,0.667
2019,,The Masters,"Matsuyama, Hideki",4,68,5.169,303.7,0.611,0.857
2019,,The Masters,"Baker, Chris",1,74,-0.282,296.5,0.5,0.444
2019,,The Masters,"Baker, Chris",2,71,2.787,300.2,0.611,0.625
